STOCK  WORKSHEET AS AT  2022-03-26
ITEM NO , CODE ,  ITEM  , UNITS , CATEGORY , QUANTITY , UNIT PRICE , VALUE , PHYSICAL COUNT ,  DIFFERENCE , REMARKS
1,FL005,2T OIL,,FUEL AND OILS,4,360.00,"1,440.00"
2,A2A,A2A SPACER,KGS,PVC PIPES,0,500.00,0.00
3,,ABZ GEN 10ML,KGS,,1,16.00,16.00
4,,ABZ GEN TAS,KGS,,6,11.00,66.00
5,,ABZ SUSP 10ML,KGS,,14,19.00,266.00
6,,ABZ TABS,KGS,,10,18.90,189.00
7,,ACCU CHECK ACTIVE 50`S,KGS,,0,"1,610.00",0.00
8,,ACCU CHECK PERFOMA MACHINE,KGS,,0,"5,862.00",0.00
9,,ACCU-CHEK PERFOMA STRIPS 50`S,KGS,,0,"1,594.83",0.00
10,,ACCU-CHEK SOFTCLIX LANCETS,KGS,,0,0.00,0.00
11,,ACCUCHEK ACTIVE METER KIT,KGS,,0,"1,578.95",0.00
12,,ACCUCHEK ACTIVE TEST STRIPS 50`S,KGS,,0,"1,421.05",0.00
13,,ACEPAR MR CAPLETS 10`S,KGS,,27,18.20,491.40
14,,ACEPAR PLUS TABS 10`S,KGS,,0,40.50,0.00
15,,ACEPAR SP CAPLETS 10`S,KGS,,0,26.82,0.00
16,,ACEPAR- SP CAPLETS 10`S,KGS,,0,30.00,0.00
17,,ACETAL MR 100`S,KGS,,0,15.00,0.00
18,,ACICLOVIR 200MG 25`S,KGS,,0,25.00,0.00
19,,ACIDOPHILUS PLUS4 BILLION60`S,KGS,,0,28.00,0.00
20,,ACIRAX 250MG 30`S,KGS,,0,10.00,0.00
21,,ACIRAX CREAM 10G,KGS,,0,200.00,0.00
22,,ACLOSARA P 10S,KGS,,10,17.00,170.00
23,,ACLOSARA P SYRUP 60ML,KGS,,1,340.00,340.00
24,,ACLOSARA SP TABS 10S,KGS,,10,59.50,595.00
25,,ACLOTAS 100MG 50`S,KGS,,0,31.00,0.00
26,,ACLOTAS P TABS 30`S,KGS,,0,0.00,0.00
27,,ACLOTAS SR 200MG 50`S,KGS,,0,33.00,0.00
28,,ACNE-AID SOAP 100G,KGS,,0,500.00,0.00
29,,ACTIDROX 250MG/5ML(CEFADROXIL) 60MLS,KGS,,1,323.00,323.00
30,,ACTIFED WET COUGH & COLD 100ML,KGS,,0,300.00,0.00
31,,ACTILOSA CAPS 10`S,KGS,,0,675.00,0.00
32,,ACTION TABS,KGS,,46,6.20,285.20
33,,ACULAR DROPS 0.5% 5ML,KGS,,0,"1,194.00",0.00
34,,ACULAR STERILE 5ML,KGS,,0,"1,195.00",0.00
35,,ACYCLOVIR CREAM 10G,KGS,,0,200.00,0.00
36,,ADALAT CR 30MG 28`S,KGS,,0,73.00,0.00
37,,ADALAT LA 60MG 30`S,KGS,,0,101.00,0.00
38,,ADALAT RETARD 20MG 60`S,KGS,,0,59.00,0.00
39,,ADDYZOA  CAPS,KGS,,0,20.00,0.00
40,,ADDYZOA CAPS 20`S,KGS,,0,38.94,0.00
41,,ADOL SUPPOSITORIS -PARACETAMOL 250MG,KGS,,0,18.80,0.00
42,,ADVANTAN CREAM 0.1%,KGS,,0,750.00,0.00
43,,ADVANTEC 16MG/12.5MG 28`S,KGS,,0,74.07,0.00
44,,AERIUS Ã¯Â¿Â½5MG TAB`S 30`S,KGS,,0,67.00,0.00
45,,AERIUS ORAL SOLUTION 60ML,KGS,,0,0.00,0.00
46,,AERIUS SYP. 150ML,KGS,,0,800.00,0.00
47,,AEROCHAMBER PLUS MOUTHPIECE,KGS,,0,"3,185.00",0.00
48,,AEROVENT INHALER 200D,KGS,,0,684.60,0.00
49,,AGYCIN 500MG 3S-AZITHROMICIN,KGS,,0,60.00,0.00
50,,AIRTAL 100MG TABS 40`S,KGS,,0,70.39,0.00
51,,AKINETON 2MG 50`S,KGS,,0,"1,700.00",0.00
52,,ALBEN 10ML SUSP,KGS,,1,97.00,97.00
53,,ALBEN TABS 1`S 400MG,KGS,,1,86.00,86.00
54,,ALBENDAZOLE SUSP 10ML,KGS,,0,16.00,0.00
55,,ALBUREL 20% 100ML HUMAN NORMAL ALBUMIN,KGS,,0,"7,000.00",0.00
56,,ALCOHOL SWABS,KGS,,0,5.00,0.00
57,,ALDACTONE 25MG 100`S,KGS,,0,21.00,0.00
58,,ALDOMET 250MG TABS 30`S ALGORITHM BRAND,KGS,,0,0.00,0.00
59,,ALDOMET 250MG TABS 30`S ASPEN BRAND,KGS,,0,0.00,0.00
60,,ALDOMET 500MG TABS 30`S,KGS,,0,31.00,0.00
61,,ALERFREE 60ML SYR.,KGS,,0,150.00,0.00
62,,ALERSET TABS 30S,KGS,,0,10.00,0.00
63,,ALLDOX 100MG CAPS 10`S,KGS,,0,2.00,0.00
64,,ALLEGIX 180MG 6`S,KGS,,0,70.00,0.00
65,,ALLERGO COMOD DROPS,KGS,,0,822.00,0.00
66,,ALLOPURINOL 100MG 28`S ACCORD,KGS,,0,5.71,0.00
67,,ALLOPURINOL 300MG 28`S,KGS,,0,8.93,0.00
68,,ALLOPURINOL 300MG TABS 28`S  CRESCENT,KGS,,0,10.00,0.00
69,,ALLSTAR PEN 1`S,KGS,,0,1.00,0.00
70,,ALMOTAN 6.25MG TABS 6`S,KGS,,0,134.59,0.00
71,,ALOEVERA SANTIZER  200ML,KGS,,0,150.00,0.00
72,,ALPHAGAN EYE DROP`S 5ML,KGS,,0,"1,151.25",0.00
73,,ALPHAGAN PURITE EYE DROPS 5ML,KGS,,0,"1,381.50",0.00
74,,ALTACEF 500MG TABS 10`S,KGS,,0,90.00,0.00
75,,ALTRINE 60ML SUSP,KGS,,0,45.00,0.00
76,,ALUGEL SYP 100ML,KGS,,1,54.00,54.00
77,,ALWAYS COTTON SOFT MAXI THICK LONG 8`S,KGS,,0,5.00,0.00
78,,ALWAYS DOUBLE 16`S,KGS,,0,150.00,0.00
79,,ALWAYS MAXI THICK LONG 7`S,KGS,,0,10.00,0.00
80,,ALWAYS ULTRA 8`S,KGS,,0,100.00,0.00
81,,ALWAYS ULTRA THIN - PACKET 14`S,KGS,,0,7.00,0.00
82,,ALWAYS ULTRA THIN EXTRA LONG 7`S,KGS,,0,100.00,0.00
83,,ALWAYS ULTRA THIN LONG 8`S,KGS,,0,9.00,0.00
84,,ALZOLAM 0.25MG TABS 100S,KGS,,0,17.60,0.00
85,,ALZOLAM 0.5 MG 100`S,KGS,,0,30.00,0.00
86,,AMARYL 1MG 30`S,KGS,,0,25.00,0.00
87,,AMARYL 2MG 30`S,KGS,,0,28.00,0.00
88,,AMARYL 4MG 30`S,KGS,,0,80.00,0.00
89,,AMARYL M TABS 2MG 30S,KGS,,0,0.00,0.00
90,,AMINOPHYLLINE INJ. 250MG/10ML,KGS,,0,42.00,0.00
91,,AMISULPRIDE 100MG TABS 60`S,KGS,,0,30.09,0.00
92,,AMITRIPTYLINE 25MG TABS 100`S AMITRIP,KGS,,0,2.00,0.00
93,,AMIZOLE GEL  20G,KGS,,0,300.00,0.00
94,,AMIZOLE SUSP 100ML,KGS,,0,100.00,0.00
95,,AMIZOLE SUSP 60ML,KGS,,0,50.00,0.00
96,,AMIZOLE TABS 400MG,KGS,,0,3.00,0.00
97,,AMLOCIP NB 30`S,KGS,,0,45.00,0.00
98,,AMLODENK 10MG 50`S,KGS,,0,19.08,0.00
99,,AMLODENK 5MG TABS 50`S,KGS,,0,0.00,0.00
100,,AMLODIPINE 10MG 28`S UK,KGS,,0,16.00,0.00
101,,AMLODIPINE 10MG TABS 100`S NOVARTIS ACESS,KGS,,0,2.54,0.00
102,,AMLODIPINE 5MG 28`S UK,KGS,,0,7.14,0.00
103,,AMLODIPINE 5MG TABS 30`S,KGS,,0,2.00,0.00
104,,AMLONG 10MG 30`S,KGS,,0,25.00,0.00
105,,AMLONG 5MG 30`S,KGS,,0,11.45,0.00
106,,AMLOSUN 10MG 30`S,KGS,,0,44.00,0.00
107,,AMLOSUN 5MG 30`S,KGS,,0,24.00,0.00
108,,AMLOZAAR 30`S,KGS,,0,50.73,0.00
109,,AMLOZAAR H 30`S,KGS,,0,55.00,0.00
110,,AMOXICILLIN 250MG 100`S,KGS,,0,7.00,0.00
111,,AMOXICILLIN 500MG 100S,KGS,,200,2.40,480.00
112,,AMOXIL 125MG/5ML 100ML,KGS,,0,300.00,0.00
113,,AMOXIL 250MG/5ML 100ML,KGS,,0,326.00,0.00
114,,AMOXIL 500MG CAPS 100`S O,KGS,,0,19.00,0.00
115,,AMOXIL SYRUP FORTE 250MG/5ML 100ML,KGS,,0,345.00,0.00
116,,AMOXYCILLIN 250MG CAPS 100`S,KGS,,0,1.30,0.00
117,,AMOXYCILLIN 60MLS GEN,KGS,,6,24.00,144.00
118,,AMOXYCLAV 625MG 10S,KGS,,7,192.00,"1,344.00"
119,,AMOXYL 125MG/5ML 100ML,KGS,,1,34.00,34.00
120,,AMOXYL 500MG,KGS,,0,2.30,0.00
121,,AMPICLOX CAPS 500MG 100`S,KGS,,100,2.85,285.00
122,,AMPICLOX DAWA 500MG 100S,KGS,,0,4.50,0.00
123,,AMPICLOX N/N DROPS 10ML GEN,KGS,,1,44.00,44.00
124,,AMPIXLOX SYR 100ML,KGS,,0,615.00,0.00
