 BILLING 	  	 ZONE  	 376-001 	  	  
ACCOUNT 	 METER 	  CLASS  	 PREVIOUS 	 CURRENT 	 DEDUCTION 
37600100020	05 002063	A	0
37600100025	867409	A	12
37600100034	5002039	A	0
37600100037	141210447	A	0
37600100040	16050055	A	0
37600100045	16050055	A	0
37600100050	L06101762	C	4224
37600100060	L031572284	A	1041
37600100068	05 00180	A	0
37600100070	L061810701	A	1852
37600100080	12000385	A	0
37600100090	80200309	A	0
37600100100	20130200602	B	18
37600100108	12000612	A	0
37600100110	L8169116	A	74
37600100120	12000395	A	0
37600100161	34583493	A	0
37600100170	LAWASCO2023	B	729
37600100171	12000336	A	20
37600100192	12000391	A	0
37600100200	L051059417	A	1574
37600100210	1200695	A	207
37600100215	3084	A	0
37600100240	20190200104	A	52
37600100260	GKMJZ1000900125	A	828
37600100270	141210394	A	326
37600100420	9059	A	2031
37600100558	141210072	A	0
37600100660	12000431	A	527
37600100900	3444	A	0
37600101001	3555	A	28
37600101250	92	A	0
37600102000	3548	A	113
37600102065	5002028	A	0
37600102250	84000125	A	0
37600102403	LXH080542	A	0
37600102651	71072597	A	0
37600102860	LXH080242	A	0
37600103800	9144	A	0
37600104600	15021070	A	46
37600104610	37600104610	A	28
37600104700	3113	A	0
37600105360	141210642	A	580
37600105371	141210491	A	321
37600105375	05 1838679	A	1635
37600105700	42120	A	0
37600106400	9031	A	467
37600106500	20190200143	A	853
37600106602	L03157163	A	0
37600106610	20190200393	A	2
37600106621	141210983	A	570
37600106710	GKM06C2559	A	0
37600106730	L498311	A	100
37600106735	155140217	A	0
37600106740	1201057	A	3196
37600106760	141210882	A	94
37600107501	2019020042	A	52
37600109000	12000143	A	0
37600110005	141210113	A	0
37600110100	71636781	A	0
37600110101	12000687	A	8742
37600111000	HN03014469	A	5358
37600111050	37600111050	A	0
37600111270	LAMU0157	A	4
37600111300	141210135	A	948
37600111310	9000393	A	1416
37600111501	141210477	A	226
37600112000	HN99010001	A	3004
37600112100	9056	A	991
37600112330	33311	A	0
37600112370	3170	A	814
37600112501	8344704	A	1353
37600113252	12000643	A	444
37600113370	141210482	A	647
37600113503	4136523	A	84
37600113750	3265	B	901
37600113761	10001406	A	553
37600113781	3490	A	1767
37600113790	1412106079	B	838
37600113800	99A027764	A	805
37600114000	37600114000	A	0
37600114251	9000323	A	466
37600114252	37600114252	A	0
37600114500	37600114500	A	0
37600115300	37600115300	A	0
37600115430	12000067	A	44
37600115500	HN05102607	A	0
37600115620	20190200179	A	357
37600116100	12000414	A	241
37600117251	120137	B	839
37600117600	10592	A	0
37600117709	141210433	A	11
37600117800	141210305	B	1602
37600118000	37600118000	A	0
37600118450	3482	A	4154
37600118500	3443	A	645
37600118550	12000462	A	101
37600119002	141210664	B	521
37600119501	05 002924	A	379
37600120000	12000306	A	753
37600120020	16052212	A	264
37600120030	61002264	A	776
37600120040	141210527	B	1880
37600120500	37600120500	A	0
37600121001	05 00068	A	2814
37600122003	HN05107345	A	203
37600122301	141210465	A	433
37600123050	141210028	A	727
37600123100	41366675	A	0
37600123200	60748202	A	0
37600123251	3629	A	1334
37600123260	3506	A	425
37600123270	141210001	A	422
37600123600	41366194	A	96
37600123610	12000099	A	346
37600123611	37600123611	A	347
37600123700	141210617	A	337
37600123710	37600123710	A	22
37600123851	9000440	A	2476
37600123870	141210382	A	550
37600123900	37600123900	A	0
37600123951	37600123951	A	0
37600124000	37600124000	A	0
37600124000	37600124000	A	0
37600125500	12000196	A	0
37600126005	141210567	A	0
37600126301	37600126301	A	0
37600127505	3161	A	261
37600131202	9000394	A	446
37600131601	141210634	A	695
37600131752	L061811590	A	952
37600132005	37600132005	A	0
37600134500	141210201	A	0
37600135253	37600135253	A	0
37600135502	L03157244	A	3105
37600137851	HN9901166	A	724
37600138000	1201063	A	941
37600138502	GKM06086335	A	221
37600139102	HN05106881	A	33
37600140500	L867480	A	233
37600141003	137	A	355
37600141250	1412109198	A	295
37600141280	9000352	A	0
37600142100	82163781	A	0
37600142250	141210956	A	718
37600143381	37600143381	A	0
37600143390	141210674	A	420
