 BILLING 	  	 ZONE  	 376-001 	  	  
ACCOUNT 	 METER 	  CLASS  	 PREVIOUS 	 CURRENT 	 DEDUCTION 
37600104610	37600104610	A	20
37600111050	37600111050	A	0
37600114000	37600114000	A	0
37600114252	37600114252	A	0
37600114500	37600114500	A	0
37600115300	37600115300	A	0
37600118000	37600118000	A	0
37600120500	37600120500	A	0
37600123611	37600123611	A	347
37600123710	37600123710	A	4
37600123900	37600123900	A	0
37600123951	37600123951	A	0
37600124000	37600124000	A	0
37600124000	37600124000	A	0
37600126301	37600126301	A	0
37600132005	37600132005	A	0
37600135253	37600135253	A	0
37600143381	37600143381	A	0
37600143890	37600143890	A	0
37600145002	37600145002	A	0
37600155610	37600155610	A	230
37600155690	37600155690	A	0
37600155790	37600155790	A	269
37600157120	37600157120	A	3
37600157120	37600157120	A	3
37600160220	37600160220	C	30
37600160620	37600160620	A	136
37600160820	37600160820	A	37
37600160830	37600160830	A	211
37600160990	37600160990	A	106
37600161110	37600161110	A	5
37600161120	37600161120	A	2
37600161130	37600161130	A	11
37600161140	37600161140	A	3
37600161150	37600161150	A	4
37600161160	37600161160	A	7
37600161170	37600161170	A	1
37600161500	37600161500	A	109
37600161560	37600161560	A	324
