PF001,AFRIDEV FINISHING TOOL,10,4000,PC,0,E1,PIPESAND FITTINGS\
PF002,AFRIDEV SANCTION PIPES W1ES,4,0,PC,0,E6,PIPESAND FITTINGS\
PF003,AIR VALVE RUBBER BALL,5,20,PC,0,A4,PIPESAND FITTINGS\
PF004,ALL FLENGED TEE 100MM X 100MM,2,6500,PC,0,D2,PIPESAND FITTINGS\
PF005,ALL FLENGED TEE 100MM X 80MM,0,6500,PC,0,D3,PIPESAND FITTINGS\
PF006,ALL FLENGED TEE DN 160MM X 160MM,1,12000,PC,0,D2,PIPESAND FITTINGS\
PF007,ALL FLENGED TEE 110MM,1,8000,PC,0,D3,PIPESAND FITTINGS\
PF008,ALL FLENGED TEE 50MM X 50MM,2,4500,PC,0,D3,PIPESAND FITTINGS\
PF009,AL LFLENGED TEE 63MM X 63MM,1,4500,PC,0,D3,PIPESAND FITTINGS\
PF0010,AL LFLENGED TEE 200MM X 200MM,1,19000,PC,0,D2,PIPESAND FITTINGS\
PF0011,ALLUMINIUM PIPE 2 1/2,1,0,PC,0,M.DOOR,PIPESAND FITTINGS\
PF0012,ALLUMINIUM STRAPS,70,0,PC,0,L5,PIPESAND FITTINGS\
PF0013,ANCHOR BOLTS SIZE 19,19,0,PC,0,E5,PIPESAND FITTINGS\
PF0014,BEARING BUSHES 545 - 51 MOTOR PUMP,6,0,PC,0,BOX M,PIPESAND FITTINGS\
PF0015,BEARING CARRIER 382 - 51 MOTOR PUMP,3,0,PC,0,BOX M,PIPESAND FITTINGS\
PF0016,BEARING CARRIER 382 - 52 MOTOR PUMP,3,0,PC,0,BOX M,PIPESAND FITTINGS\
PF0017A,BALL COCK 2,0,650,PC,0,,PIPESAND FITTINGS\
PF0017B,BALL VALVE 2",3,150,PC,0,E3,PIPESAND FITTINGS\
PF0017C,BALL VALVE PEGLER TAP 3/4,0,0,PC,0,B3,PIPESAND FITTINGS\
PF0017C,BALL VALVE 1/2 PVC,0,174,PC,0,B3,PIPESAND FITTINGS\
PF0018,BALL VALVE  L - 106071,5,0,PC,0,BOX M,PIPESAND FITTINGS\
PF0019,BALL VALVE PLASTIC 4 1/2,1,15,PC,0,E3,PIPESAND FITTINGS\
PF0020,BEND G.I 1/2 ",58,70,PC,9,B5,PIPESAND FITTINGS\
PF0021,BEND G.I 3/4 ",20,93,PC,9,B4,PIPESAND FITTINGS\
PF0022,BEND G.I 1",17,139,PC,9,B5,PIPESAND FITTINGS\
PF0023A,BEND G.I 1 1/4",1,110,PC,0,B5,PIPESAND FITTINGS\
PF0023B,BEND 1 1/2,0,400,PC,0,B5,PIPESAND FITTINGS\
PF0024,BEND 2" GI,0,345,PC,9,B5,PIPESAND FITTINGS\
PF0025,BEND PVC 1/2 ",2,12,PC,0,C4,PIPESAND FITTINGS\
PF0026A,BEND UPVC 1 1/2 ",1,60,PC,0,C4,PIPESAND FITTINGS\
PF0026B,BEND UPVC 2 ",5,348,PC,0,,PIPESAND FITTINGS\
PF0027,BLANK FLENGE DN.50,6,1000,PC,2,D2,PIPESAND FITTINGS\
PF0028,BLANK FLENGE 63MM THREADED 2 NIPPLE,1,1500,PC,1,H5,PIPESAND FITTINGS\
PF0029,BLANK FLENGE DN. 63MM  - TAPPED 3/4,1,1500,PC,0,H5,PIPESAND FITTINGS\
PF0030,BLANK FLENGE 90MM TAPPED 3/4,0,0,PC,0,H4,PIPESAND FITTINGS\
PF0031,BLANK FLENGE 90MM  DOUBLE TAPPED 3/4,2,1500,PC,1,H4,PIPESAND FITTINGS\
PF0032,BLANK FLENGE DN. 110MM  DOUBLE TAPPED 3/4,1,1500,PC,1,H4,PIPESAND FITTINGS\
PF0033,BLANK FLENGE 110MM,1,1500,PC,1,H4,PIPESAND FITTINGS\
PF0034,BLANK FLENGE 160MM,1,2000,PC,1,K4,PIPESAND FITTINGS\
PF0035,BLANK FLENGE 225MM,3,2500,PC,1,K4,PIPESAND FITTINGS\
PF0036,BLANK FLENGE DN.300MM  DOUBLE TAPPED,2,2500,PC,1,K4,PIPESAND FITTINGS\
PF0037,BLIND PLATE 63MM,10,0,PC,0,H5,PIPESAND FITTINGS\
PF0038,BLIND PLATE 90MM,10,0,PC,0,H5,PIPESAND FITTINGS\
PF0039,BLIND PLATE 110MM,3,0,PC,0,H5,PIPESAND FITTINGS\
PF0040,BLIND PLATE 160MM,3,0,PC,0,H5,PIPESAND FITTINGS\
PF0041,BLIND PLATE 200/210MM,0,0,PC,0,H5,PIPESAND FITTINGS\
PF0042,BLIND PLATE 315MM,3,0,PC,0,H5,PIPESAND FITTINGS\
PF0043,BOSS STAINLESS STEEL,1,12000,PC,1,F1,PIPESAND FITTINGS\
PF0044A,BOSS WHITE 400GMS,2,120,PC,6,DR19,PIPESAND FITTINGS\
PF0044B,BOTTLE TRAP 1 1/4 WASTE,2,350,PC,0,,PIPESAND FITTINGS\
PF0045,BRASS BALL VALVE 1",2,75,PC,0,E3,PIPESAND FITTINGS\
PF0046,BRASS UNION 1/2  WATER METER ,0,0,PC,0,B2,PIPESAND FITTINGS\
PF0047,BREATHER CAPS PVC,7,50,PC,0,E3,PIPESAND FITTINGS\
PF0048A,BREATHER 2,0,120,PC,0,B3,PIPESAND FITTINGS\
PF0048B,BRACKET STEEL,3,200,PC,0,,PIPESAND FITTINGS\
PF0049,CAP ACCESS PVC,6,120,PC,0,C5,PIPESAND FITTINGS\
PF0050,CAP  PVC  FEMALE  140MM,7,920,PC,0,C6,PIPESAND FITTINGS\
PF0051,CASSING PIPE PE 100MM X 3M  BLUE,4,0,PC,0,PYII,PIPESAND FITTINGS\
PF0052,CASSING PIPE PE 100MM X 3M  BLACK,4,0,PC,0,PYII,PIPESAND FITTINGS\
PF0053,CASSING PIPE 75MM X 300MM,1,0,PC,0,L5,PIPESAND FITTINGS\
PF0054,CHLORINE POWDER 65PERCENT,112.5,309.33,KG,180,CHL/STORE,PIPESAND FITTINGS\
PF0055,CLEAR RENFORCED HOSE PIPE 1/2,0,90,MTR,0,E7,PIPESAND FITTINGS\
PF0056A,CLEAR RENFORCED HOSE PIPE 3/4,0,34.8,FEETS,50,E7,PIPESAND FITTINGS\
PF0056B,COLOURED RENFORCED HOSE PIPE 3/4,79,26.45,FEETS,0,,PIPESAND FITTINGS\
PF0057,CLAMP GI 20MM,2,35,PC,0,B3,PIPESAND FITTINGS\
PF0058,GLIP G.I 1",2,100,PC,0,B3,PIPESAND FITTINGS\
PF0059A,CONDUCTOR METER HOUSING,0,0,PC,0,E5,PIPESAND FITTINGS\
PF0059B,COMPARATOR TEST TUBE,2,3600,PC,0,,PIPESAND FITTINGS\
PF0060,COMPLETE COUPLING G.I 4",1,702,PC,0,E5,PIPESAND FITTINGS\
PF0061,COUPLING C/W 2 3/8,4,200,PC,0,E5,PIPESAND FITTINGS\
