ACCOUNT,P/R DEC,C/R JAN
37601000010,375,382
37601000080,30,30
37601001010,12,12
37601001420,429,429
37601001410,120,159
37601001430,381,385
37601001480,2,2
37601001460,609,609
37601001600,919,941
37601001510,1299,1299
37601001560,2687,2687
37601001570,97,125
37601001590,187,190
37601001610,29,36
37601001850,770,770
37601001880,17,17
37601001900,442,453
37601001930,18,21
37601002010,837,837
37601002020,341,350
37601002030,713,713
37601002040,326,334
37601002070,292,298
37601002075,15,20
37601002080,11,15
37601002090,29,33
37601002122,179,188
37601002130,20,27
37601002160,602,605
37601002180,221,224
37601002190,177,177
37601002210,767,773
37601002240,8,8
37601002280,13,17
37601002260,11,12
37601002270,10,12
37601002290,16,17
37601002285,28,36
37601002300,182,184
37601002310,14,17
37601002320,,5
37601002330,725,729
37601002340,22,27
37601002610,1122,1143
37601002650,318,321
37601002660,876,876
37601002680,1187,1206
37601003000,1765,1769
37601003010,229,229
37601003101,597,605
37601003300,511,526
37601003500,1163,1170
37601003510,693,702
37601003540,719,730
37601003700,310,310
37601003750,688,692
37601004500,349,355
37601005000,531,548
37601005030,1099,1099
37601005010,252,252
37601005080,442,444
37601005100,2442,2454
37601005110,202,208
37601005150,148,154
37601005810,99,99
37601005820,3,3
37601005840,115,120
37601005880,150,150
37601005910,3068,3068
37601005900,96,96
37601005920,90,92
37601006010,108,117
37601006000,212,212
37601006110,52,52
37601006400,223,228
37601006450,770,781
37601006500,514,520
37601006600,79,95
37601006651,15,22
37601006670,1106,1125
37601006690,511,534
37601006700,1987,2001
37601006720,474,483
37601006730,1411,1425
37601006770,1200,1211
37601006780,97,101
37601006790,817,831
37601006800,1199,1199
37601006820,281,293
37601006865,572,572
37601006870,1161,1172
37601006880,59,59
37601006890,539,545
37601007300,1859,1866
37601007400,946,952
37601007430,840,858
37601007450,1381,1389
37601007500,434,438
37601007640,502,506
37601007645,299,304
37601007650,168,171
37601007700,789,789
37601007710,5,5
37601009000,2125,2125
37601009160,233,243
37601009180,59,59
37601009170,517,517
37601009220,348,348
37601009255,328,328
37601009270,1193,1203
37601009300,887,887
37601009350,7,16
37601009360,656,665
37601009370,1330,1336
37601009390,631,631
37601009400,1932,1953
37601009410,190,201
37601009415,412,412
37601009420,856,856
37601009460,198,203
37601009465,446,452
37601009490,105,111
37601009500,573,595
37601009520,59,63
37601009510,672,677
37601009540,502,502
37601009550,875,875
37601009570,233,233
37601009590,2922,2922
37601009610,697,713
37601009620,175,176
37601009670,1014,1021
37601009688,172,179
37601009680,646,650
37601009690,693,697
37601009695,516,516
37601009700,587,594
37601010400,1321,1335
37601010480,840,840
37601010500,217,221
37601010540,679,689
37601010570,415,422
37601010600,175,175
37601010610,789,793
37601010615,3181,3181
37601010625,1281,1282
37601010645,154,160
37601010660,1241,1241
37601010665,1641,1641
37601010700,1672,1678
37601010750,775,778
37601010770,1498,1513
37601010800,614,617
37601010810,429,436
37601010820,255,255
37601010855,239,244
