ACCOUNT,P/R MAR,C/R APR
37601000010,396,400
37601000080,30,30
37601001010,12,12
37601001420,429,429
37601001410,233,277
37601001430,397,404
37601001480,3,3
37601001460,615,617
37601001600,990,1028
37601001510,1299,1299
37601001560,2687,2687
37601001570,165,196
37601001590,197,204
37601001610,50,59
37601001850,770,770
37601001880,17,17
37601001900,475,487
37601001930,53,70
37601002010,837,837
37601002020,368,380
37601002030,713,713
37601002040,353,367
37601002070,309,324
37601002075,42,50
37601002080,20,25
37601002090,47,53
37601002122,208,225
37601002130,41,52
37601002160,613,626
37601002180,238,245
37601002190,177,177
37601002210,783,789
37601002240,9,10
37601002280,24,27
37601002260,16,18
37601002270,18,21
37601002290,22,24
37601002285,62,74
37601002300,213,213
37601002310,24,29
37601002320,16,20
37601002330,736,741
37601002340,44,48
37601002610,1188,1217
37601002650,327,331
37601002660,876,876
37601002680,1243,1276
37601003000,1774,1781
37601003010,229,229
37601003101,621,629
37601003300,558,574
37601003500,1185,1193
37601003510,719,728
37601003540,752,766
37601003700,310,310
37601003750,700,704
37601004500,371,381
37601005000,587,612
37601005030,1099,1099
37601005010,252,252
37601005080,449,451
37601005100,2476,2492
37601005110,219,223
37601005150,166,172
37601005810,99,99
37601005820,3,3
37601005840,135,140
37601005880,150,150
37601005910,3068,3068
37601005900,96,96
37601005920,99,104
37601006010,132,142
37601006000,212,212
37601006110,52,52
37601006400,238,249
37601006450,790,800
37601006500,532,538
37601006600,127,155
37601006651,38,40
37601006670,1163,1180
37601006690,568,589
37601006700,2036,2058
37601006720,497,507
37601006730,1455,1476
37601006770,1234,1243
37601006780,119,130
37601006790,851,853
37601006800,1199,1199
37601006820,315,330
37601006865,572,572
37601006870,1189,1201
37601006880,60,61
37601006890,563,566
37601007300,1882,1890
37601007400,962,970
37601007430,887,909
37601007450,1410,1425
37601007500,446,451
37601007640,514,519
37601007645,299,299
37601007650,179,190
37601007700,789,789
37601007710,5,5
37601009000,2125,2125
37601009160,263,276
37601009180,59,59
37601009170,523,528
37601009220,348,348
37601009255,328,328
37601009270,1222,1235
37601009300,887,887
37601009350,31,42
37601009360,673,677
37601009370,1352,1362
37601009390,631,631
37601009400,1984,1994
37601009410,224,238
37601009415,412,412
37601009420,856,856
37601009460,215,224
37601009465,460,463
37601009490,118,124
37601009500,638,665
37601009520,72,79
37601009510,684,688
37601009540,502,502
37601009550,875,875
37601009570,233,233
37601009590,2922,2922
37601009610,738,748
37601009620,180,183
37601009670,1035,1040
37601009688,192,202
37601009680,663,669
37601009690,704,710
37601009695,516,516
37601009700,606,610
37601010400,1359,1372
37601010480,840,840
37601010500,231,239
37601010540,714,732
37601010570,432,444
37601010600,175,178
37601010610,806,816
37601010615,3181,3181
37601010625,1282,1282
37601010645,183,193
37601010660,1241,1241
37601010665,1640,1641
37601010700,1681,1682
37601010750,778,778
37601010770,1547,1569
37601010800,633,646
37601010810,453,466
37601010820,255,255
37601010855,254,261
