ACCOUNT,C/R FEB,C/R MAR
37601000010,390,396
37601000080,30,30
37601001010,12,12
37601001420,429,429
37601001410,198,233
37601001430,393,397
37601001480,3,3
37601001460,612,615
37601001600,964,990
37601001510,1299,1299
37601001560,2687,2687
37601001570,146,165
37601001590,194,197
37601001610,43,50
37601001850,770,770
37601001880,17,17
37601001900,463,475
37601001930,37,53
37601002010,837,837
37601002020,359,368
37601002030,713,713
37601002040,343,353
37601002070,304,309
37601002075,32,42
37601002080,17,20
37601002090,39,47
37601002122,197,208
37601002130,34,41
37601002160,607,613
37601002180,231,238
37601002190,177,177
37601002210,777,783
37601002240,8,9
37601002280,19,24
37601002260,15,16
37601002270,15,18
37601002290,19,22
37601002285,44,62
37601002300,199,213
37601002310,21,24
37601002320,11,16
37601002330,733,736
37601002340,35,44
37601002610,1166,1188
37601002650,324,327
37601002660,876,876
37601002680,1224,1243
37601003000,1772,1774
37601003010,229,229
37601003101,614,621
37601003300,543,558
37601003500,1178,1185
37601003510,710,719
37601003540,743,752
37601003700,310,310
37601003750,696,700
37601004500,363,371
37601005000,567,587
37601005030,1099,1099
37601005010,252,252
37601005080,446,449
37601005100,2455,2476
37601005110,215,219
37601005150,162,166
37601005810,99,99
37601005820,3,3
37601005840,115,135
37601005880,150,150
37601005910,3068,3068
37601005900,96,96
37601005920,96,99
37601006010,124,132
37601006000,212,212
37601006110,52,52
37601006400,233,238
37601006450,790,790
37601006500,526,532
37601006600,113,127
37601006651,30,38
37601006670,1143,1163
37601006690,551,568
37601006700,2019,2036
37601006720,491,497
37601006730,1440,1455
37601006770,1222,1234
37601006780,111,119
37601006790,841,851
37601006800,1199,1199
37601006820,303,315
37601006865,572,572
37601006870,1182,1189
37601006880,60,60
37601006890,558,563
37601007300,1873,1882
37601007400,957,962
37601007430,872,887
37601007450,1400,1410
37601007500,442,446
37601007640,510,514
37601007645,299,299
37601007650,171,179
37601007700,789,789
37601007710,5,5
37601009000,2125,2125
37601009160,253,263
37601009180,59,59
37601009170,517,523
37601009220,348,348
37601009255,328,328
37601009270,1212,1222
37601009300,887,887
37601009350,24,31
37601009360,669,673
37601009370,1345,1352
37601009390,631,631
37601009400,1968,1984
37601009410,212,224
37601009415,412,412
37601009420,856,856
37601009460,210,215
37601009465,453,460
37601009490,115,118
37601009500,615,638
37601009520,64,72
37601009510,679,684
37601009540,502,502
37601009550,875,875
37601009570,233,233
37601009590,2922,2922
37601009610,728,738
37601009620,180,180
37601009670,1029,1035
37601009688,185,192
37601009680,656,663
37601009690,700,704
37601009695,516,516
37601009700,600,606
37601010400,1349,1359
37601010480,840,840
37601010500,226,231
37601010540,702,714
37601010570,428,432
37601010600,175,175
37601010610,799,806
37601010615,3181,3181
37601010625,1282,1282
37601010645,169,183
37601010660,1241,1241
37601010665,1641,1640
37601010700,1678,1681
37601010750,778,778
37601010770,1525,1547
37601010800,626,633
37601010810,445,453
37601010820,255,255
37601010855,250,254
