ACCOUNT NUMBER,PR JUNE 22,CR JULY 22,,
37600400010,0,,,
37600400200,530,,,
37600400210,132,146,,
37600400220,417,422,,
37600400240,1101,1101,,
37600400251,165,184,,
37600400260,47,47,,
37600400270,456,456,,
37600400280,397,400,,
37600400290,300,325,,
37600400300,,,,
37600400320,,,,
37600400340,0,11,,
37600400350,433,433,,
37600400360,919,919,,
37600400370,2130,2137,,
37600400380,804,,,
37600400390,527,527,,
37600400400,2472,2482,,
37600400420,854,867,,
37600400425,166,166,,
37600400440,102,106,,
37600400450,,,,
37600400460,882,892,,
37600400470,494,501,,
37600400480,872,876,,
37600400490,27,,,
37600400510,179,179,,
37600400540,,,,
37600400751,3296,3329,,
37600400780,399,408,,
37600400800,1471,1476,,
37600400810,1269,1294,,
37600401750,570,,,
37600401755,379,397,,
37600401760,4,17,,
37600401770,753,769,,
37600401780,213,232,,
37600402002,498,498,,
37600402220,871,885,,
37600402502,322,,,
37600402552,632,655,,
37600402752,338,341,,
37600403000,795,801,,
37600403501,2078,2093,,
37600403600,598,601,,
37600403660,460,,,
37600403710,,,,
37600403720,,,,
37600403721,288,294,,
37600403730,,,,
37600403731,346,,,
37600403740,,,,
37600403741,18,,,
37600404006,177,181,,
37600404070,209,,,
37600404200,1109,1144,,
37600404300,547,547,,
37600404501,1,,,
37600405000,0,0,,
37600405100,821,,,
37600405130,135,135,,
37600405150,794,808,,
37600405403,94,0,,
37600405451,799,810,,
37600405461,1683,1694,,
37600405500,478,478,,
37600405560,67,,,
37600406000,2424,2425,,
37600406500,0,,,
37600406550,1179,1179,,
37600406604,469,475,,
37600407300,687,687,,
37600407451,287,299,,
37600407502,435,452,,
37600407522,71,74,,
37600407602,537,537,,
37600407610,618,624,,
37600407621,52,,,
37600407630,31,31,,
37600407646,329,331,,
37600407750,714,714,,
37600408006,1038,1038,,
37600408010,0,,,
37600408020,692,693,,
37600408030,415,,,
37600408040,232,241,,
37600408254,0,,,
37600408500,1032,,,
37600408510,95,,,
37600408522,429,438,,
37600409000,1704,,,
37600410504,1614,1620,,
37600411000,208,214,,
37600411400,0,,,
37600411501,223,233,,
37600412001,80,82,,
37600412030,398,402,,
37600412040,226,230,,
37600413250,235,251,,
37600413502,1605,1609,,
37600415002,1235,1238,,
37600415020,418,,,
37600415150,82,,,
37600415250,8,,,
37600416000,229,231,,
37600417504,608,609,,
37600417751,895,901,,
37600418501,170,170,,
37600419250,209,,,
37600420001,474,478,,
37600420120,7,,,
37600420153,525,540,,
37600420180,3113,3113,,
37600420501,0,,,
37600420600,1032,1052,,
37600420630,38,38,,
37600420642,1393,,,
37600420657,125,,,
37600420705,,,,
37600420706,574,584,,
37600420720,1329,1307,,
37600420751,418,430,,
37600420760,750,750,,
37600420770,619,,,
37600420781,321,321,,
37600420790,297,300,,
37600420800,1126,1148,,
37600420810,109,119,,
37600420820,693,700,,
37600420841,267,267,,
37600420850,316,,,
37600420860,1255,1263,,
37600420870,1471,1480,,
37600420900,1122,1122,,
37600420910,114,114,,
37600421005,399,,,
37600421450,379,,,
37600421600,260,268,,
37600421700,2225,2236,,
37600422001,843,843,,
37600422010,457,,,
37600422505,276,291,,
37600422600,634,,,
37600423000,2493,2508,,
37600423500,2541,2557,,
37600423510,42,,,
37600423520,147,,,
37600423530,296,,,
37600424001,41415,,,
37600424010,78,,,
37600424501,1293,1293,,
37600424550,321,321,,
37600425100,3176,3172,,
37600425200,1097,1117,,
37600425270,766,,,
37600425300,55,,,
37600425400,203,206,,
37600425501,315,,,
37600425600,,,,
37600426000,285,,,
37600426050,348,354,,
37600426503,5170,,,
37600427500,638,638,,
37600427601,1765,,,
37600427650,0,,,
37600427680,2095,,,
37600427750,319,,,
37600428005,360,373,,
37600428200,0,,,
37600428250,950,950,,
37600428502,636,,,
37600428510,122,122,,
37600428520,1560,1560,,
37600428530,199,,,
37600428550,2974,2974,,
37600429020,934,940,,
37600429030,98,107,,
37600429500,2580,2592,,
37600429752,403,,,
37600430002,214,214,,
37600430502,7174,7174,,
37600430600,1906,1923,,
37600430650,1037,,,
37600430750,1073,1083,,
37600430760,103,103,,
37600430800,1733,1733,,
37600430810,936,940,,
37600430820,214,214,,
37600430830,163,,,
37600430990,555,,,
37600431000,865,865,,
37600431010,220,220,,
37600431020,18,18,,
37600431040,782,782,,
37600431050,2745,2758,,
37600431060,762,778,,
37600431070,1208,1218,,
37600431100,1615,1651,,
37600431110,614,,,
37600431130,463,,,
37600431140,1668,1668,,
37600431150,1854,1854,,
37600431160,0,,,
37600431170,,,,
37600431180,41,,,
37600431200,297,300,,
37600431220,293,311,,
37600431241,19,,,
37600431271,619,638,,
37600431280,268,274,,
37600431300,164,164,,
37600431400,712,712,,
37600431450,131,131,,
37600431460,69,69,,
37600431701,69,69,,
37600431702,248,,,
37600431710,395,398,,
37600433001,1597,1597,,
37600433050,15,,,
37600433220,743,,,
37600433400,237,242,,
37600433410,726,726,,
37600433420,2329,2341,,
37600433452,199,,,
37600433460,527,532,,
37600433490,,,,
37600433510,191,0,,
37600433520,675,993,,
37600433530,200,,,
37600433540,257,,,
37600433553,0,,,
37600433554,,,,
37600433560,1509,1512,,
37600433565,371,370,,
37600433570,423,528,,
37600433575,172,181,,
37600433580,1456,,,
37600433590,1496,,,
37600433600,119,119,,
37600433610,4651,4665,,
37600433620,1917,1924,,
37600433626,383,397,,
37600433630,27,27,,
37600433635,367,367,,
37600433650,126,137,,
37600433670,267,278,,
37600433690,354,370,,
37600433700,52,,,
37600433710,,,,
37600433720,,,,
37600433730,,,,
37600433740,511,,,
37600433745,410,410,,
37600433750,1404,1412,,
37600433760,246,246,,
37600433770,550,550,,
37600433780,1136,1141,,
37600433785,48,46,,
37600433790,4098,,,
37600433801,867,,,
37600433810,215,,,
37600433820,2679,2684,,
37600433840,4,,,
37600433850,,,,
37600433860,1253,,,
37600433870,561,563,,
37600433880,84,93,,
37600433902,846,,,
37600433912,528,529,,
37600433920,1208,1280,,
37600433940,160,160,,
37600433941,3681,3684,,
37600433945,97,97,,
37600433952,307,312,,
37600433970,2643,2643,,
37600433980,2162,,,
37600433991,569,,,
37600434000,169,172,,
37600434020,674,686,,
37600434040,1869,1881,,
37600434050,243,243,,
37600434060,62,,,
37600434065,1607,,,
37600434070,173,175,,
37600434080,143,143,,
