ACCOUNT NUMBER,PR JUNE 22,CR JULY 22
3760063650,,
37600600011,480,
37600600502,748,749
37600601003,,
37600601400,259,
37600601501,0,
37600601502,99,
37600601532,116,
37600601707,1530,
37600601901,1656,1656
37600602340,313,313
37600602370,1699,1716
37600602533,11,
37600603500,910,
37600603600,307,
37600604501,236,
37600605500,23,23
37600606001,3,
37600606603,0,
37600606900,300,300
37600607001,1515,
37600607200,,
37600607300,10,
37600607350,1145,
37600607509,620,
37600608090,1450,
37600608091,1430,
37600608100,54,
37600609000,3141,3141
37600609200,805,
37600609231,1418,1418
37600610380,,
37600610504,2723,
37600611500,317,324
37600611550,482,
37600612003,2546,2552
37600612540,39,39
37600612550,433,442
37600613000,138,142
37600613050,,
37600613051,250,253
37600613252,480,
37600613500,19,19
37600615100,0,
37600615500,349,350
37600615601,392,
37600615750,361,
37600615800,,
37600617600,8,
37600617610,8,
37600617620,26,
37600617630,5,
37600618070,,
37600619007,55,
37600619450,454,461
37600619480,106,
37600619503,1020,1043
37600620600,1051,
37600620610,0,
37600620640,1937,
37600620650,,
37600620740,177,
37600620750,273,273
37600620751,127,
37600620760,2384,
37600620780,1415,1416
37600620791,4401,4401
37600620800,3224,
37600620810,707,720
37600620822,,
37600620823,314,
37600620830,71,71
37600620840,309,309
37600620850,280,
37600620880,722,725
37600621202,441,
37600621501,142,
37600622506,957,
37600623000,6763,6763
37600623010,,
37600623100,163,163
37600623200,42,
37600623300,400,408
37600623500,1978,
37600623600,371,378
37600624100,13,
37600624200,285,
37600624300,102,104
37600624502,38,
37600625550,120,
37600626250,1649,1654
37600626300,718,722
37600626350,175,183
37600626380,1664,1669
37600626400,880,
37600628000,195,
37600628100,564,564
37600628110,1957,
37600628121,713,717
37600628130,8,
37600628140,510,513
37600628150,105,106
37600628372,488,494
37600628450,10,10
37600628460,396,
37600628470,329,336
37600628501,461,470
37600628540,1307,1317
37600628550,0,
37600628600,1365,1369
37600628750,116,
37600628760,557,567
37600628800,0,
37600628880,,
37600629001,385,
37600629050,401,
37600629100,262,267
37600629251,66,
37600629300,565,
37600629500,842,852
37600630250,510,
37600630270,124,124
37600630706,896,899
37600630710,658,
37600630900,364,367
37600631500,1776,
37600631753,50,
37600632002,298,
37600632550,8789,
37600633500,1166,1166
37600633900,,
37600633901,271,
37600633910,,
37600633911,527,531
37600633940,504,504
37600633950,,
37600633951,4,
37600633960,48,50
37600633980,154,154
37600634040,5,
37600634050,303,
37600634101,363,
37600634121,313,
37600634250,103,
37600634270,254,258
37600634300,544,
37600634360,289,
37600634501,574,574
37600635100,510,
37600635401,,
37600635402,40,41
37600635501,797,
37600635510,1,
37600635520,0,
37600635551,796,796
37600636000,,
37600636020,1573,1573
37600636040,137,
37600636050,980,980
37600636200,0,
37600637200,163,163
37600637522,481,
37600637750,669,669
37600637770,303,
37600637851,319,319
37600637860,146,
37600637860,,
37600637861,1313,
37600637870,894,902
37600637880,208,
37600638000,940,953
37600638100,1339,1349
37600638500,221,
37600638611,142,160
37600638660,753,756
37600639001,474,484
37600639410,,
37600639500,381,381
37600639510,143,
37600639520,175,175
37600639560,5785,
37600639750,697,703
37600639780,50,
37600639790,180,
37600640000,128,
37600640200,498,
37600640300,3759,3759
37600640330,152,
37600640360,1926,
37600640370,704,708
37600640380,1180,
37600640500,489,
37600640510,489,
37600640600,403,
37600640650,30,
37600641000,1187,1189
37600641020,1894,
37600641060,151,155
37600641100,1886,1889
37600641530,103,
37600642383,0,
37600642550,55,
37600642600,78,
37600643100,328,
37600643110,6155,
37600643340,60,
37600643351,20,
37600643360,9,
37600643370,1079,
37600643540,579,
37600643650,,
37600643700,888,
37600643740,790,
37600643750,20,20
37600643760,1216,1218
37600643770,1051,
37600643780,2343,2356
37600643790,1228,1235
37600643795,404,406
37600643921,29,
37600643930,114,114
37600643940,418,
37600643960,71,
37600644110,1087,
37600644151,624,633
37600644155,947,
37600644160,1460,
37600644170,591,
37600644180,445,
37600644300,756,756
37600644350,140,142
37600644506,110,
37600644520,3,
37600644550,182,182
37600644600,321,334
37600644620,612,612
37600645003,331,
37600645500,1132,
37600646000,0,
37600646250,697,
37600646510,392,393
37600646550,27,
37600647507,1861,
37600648001,,
37600648050,2301,2314
37600648600,1665,1667
37600648701,308,
37600648710,109,110
37600648730,473,
37600649100,268,
37600649110,15,
37600649120,912,
37600649130,0,
37600649140,3357,3375
37600649150,1166,
37600649158,,
37600649160,188,
37600649170,0,
37600649250,39,
37600649260,1004,1016
37600649301,157,
37600649310,165,
37600649320,490,
37600649330,141,141
37600649340,100,
37600649360,43,43
37600649402,1067,1067
37600649410,235,
37600649420,64,
37600649425,72,
37600649435,32,
37600649450,324,324
37600649460,,
37600649461,1215,
37600649470,591,
37600649490,78,
37600649501,12777,
37600649510,9,
37600649520,10977,
37600649530,216,
37600649550,236,
37600649601,2732,
37600650000,635,635
37600650010,280,
37600650040,0,
37600650050,1438,
37600650060,19,
37600650070,377,
37600650080,547,
37600650090,54,
37600650100,1322,
37600650120,164,
37600650130,1080,
37600650150,583,587
37600650160,612,
37600650170,334,
37600650180,1766,1780
37600650185,644,
37600650192,616,
37600650195,,
37600650200,6243,
37600650240,15,
