ACCOUNT NUMBER ,PR JUNE 22,CR JULY 22
37600800010,244,255
37600800015,389,396
37600800021,1676,
37600800030,76,
37600800040,968,986
37600800050,191,195
37600800051,0,
37600800060,1350,1355
37600800202,572,
37600800250,391,391
37600800300,137,137
37600800500,19,19
37600801002,905,914
37600801402,607,
37600801450,456,456
37600802001,654,
37600802010,212,
37600802160,316,316
37600802200,103,
37600802220,357,
37600802250,338,342
37600802302,642,642
37600802500,668,
37600802750,1644,1647
37600803004,4786,
37600803010,77,77
37600803070,186,
37600803100,188,0
37600803200,1899,1899
37600803250,32,
37600803300,347,347
37600803410,24,24
37600803440,465,
37600803450,174,185
37600803460,626,633
37600803470,495,496
37600803490,102,109
37600803500,4082,4094
37600803540,461,
37600803550,55,55
37600803600,611,
37600803650,16,18
37600803701,9252,
37600803901,26,
37600804001,975,
37600804101,1077,
37600804150,422,
37600804160,51,
37600804170,186,186
37600804180,560,569
37600804200,539,539
37600804210,88,
37600804240,0,2
37600804250,1321,1324
37600804300,3116,
37600804402,71,71
37600805006,1053,1070
37600805500,870,882
37600805640,169,188
37600805650,100,114
37600805700,568,576
37600806000,113,
37600806250,328,335
37600806255,27,
37600806301,2650,2654
37600806501,149,
37600806550,120,122
37600806560,257,264
37600806621,2371,2380
37600806882,970,
37600807103,325,
37600807200,99,
37600807251,204,
37600807260,145,
37600807295,,
37600807300,8,8
37600807311,1336,1343
37600807373,1016,
37600807381,514,514
37600807390,555,
37600807501,2456,2456
37600807510,460,462
37600807600,63,
37600807781,,
37600807871,128,
37600807880,85,
37600808200,614,
37600808501,704,
37600809008,1366,
37600809100,300,
37600809110,583,592
37600809200,1075,1084
37600809250,1640,
37600809301,457,
37600809310,69,71
37600809331,1061,1066
37600809550,1814,1814
37600809600,399,406
37600809650,608,615
37600809750,1171,1171
37600809800,1200,1200
37600810006,239,244
37600810130,893,904
37600810250,122,126
37600810501,690,
37600811002,827,827
37600811050,822,
37600811060,990,990
37600811070,327,
37600811100,348,353
37600811120,608,628
37600811200,2655,2680
37600811240,237,237
37600811300,2882,2904
37600811500,165,165
37600811800,90,90
37600812000,606,
37600812010,18,
37600812540,565,587
37600812550,2117,
37600812750,532,564
37600813007,271,271
37600813020,,
37600813121,707,
37600813130,78,
37600813350,157,172
37600813490,749,763
37600813500,2428,2447
37600813540,852,
37600813551,1024,1034
37600813600,31,
37600813605,118,
37600813610,224,
37600813620,1465,1473
37600813625,,
37600813630,730,
37600813635,134,134
37600813640,3188,
37600813645,60,
37600813650,630,
37600813660,753,753
37600813670,302,
37600813700,2950,2959
37600813710,54,60
37600813721,1369,1369
37600813750,879,879
37600814000,799,
37600814100,789,789
37600814150,2137,2143
37600814253,906,906
37600814260,501,501
37600814300,441,441
37600814310,,
37600814408,0,15
37600814503,717,723
37600814750,1172,
37600814801,1203,1203
37600814900,936,
37600814940,1121,0
37600814950,807,813
37600814960,965,970
37600814970,0,0
37600814980,,
37600814991,257,266
37600815000,20,0
37600815001,719,719
37600815100,4349,0
37600815110,219,219
37600815120,1527,
37600815130,392,
37600815140,1736,1736
37600815160,630,649
37600815170,413,431
37600815180,224,229
37600815200,800,823
37600815220,180,
37600815241,1107,
37600815250,1358,1358
37600815284,1235,1235
37600815292,260,260
37600815300,3479,3479
37600815310,255,278
37600815320,0,77
37600815350,793,815
37600815360,314,334
37600815400,1198,1198
37600815450,2713,
37600815460,1104,1104
37600815465,12,
37600815470,330,343
37600815475,151,
37600815480,184,
37600815510,1036,1042
37600815632,2243,2243
37600815640,648,648
37600815650,2823,2859
37600815660,102,105
37600815670,598,621
37600815680,1756,1769
37600815690,141,143
37600815695,248,249
37600815700,,
37600815701,737,779
37600815710,434,
37600815720,1042,
37600815730,671,699
37600815750,5404,5405
37600815755,569,
37600815760,663,666
37600815765,215,220
37600815770,476,
37600815775,64,
37600815780,283,286
37600815785,85,
37600815790,327,327
37600815800,318,
37600815810,80,80
37600815820,281,288
37600815830,0,0
37600815850,829,829
37600815870,362,
37600815880,1303,1305
37600815890,1543,1564
37600815900,486,498
37600815910,484,501
37600815920,450,
37600815930,130,148
37600815960,232,236
37600816000,104,131
37600816010,110,115
37600816020,130,134
37600816030,402,408
37600816080,573,591
37600816130,9124,9166
37600816140,748,779
37600816150,589,611
37600816160,67,72
37600816180,1617,
37600816201,1065,1065
37600816250,3530,
37600816305,135,135
37600816500,252,256
37600817001,219,
37600817500,1377,1384
37600818000,172,
37600818100,294,296
37600818120,188,189
37600818250,403,412
37600818501,861,861
37600818630,1792,
37600818800,338,
37600818901,0,0
37600819104,1858,
37600819250,142,145
37600819301,7983,7983
37600819400,871,
37600819500,65,70
37600819600,993,1004
37600820001,288,295
37600820040,731,
37600820050,0,0
37600820210,463,
37600820221,443,451
37600820230,434,434
37600820240,566,573
37600820250,303,303
37600820501,149,153
37600820550,545,550
37600820580,308,311
37600820615,384,394
37600820631,1926,
37600820640,3,
37600820650,733,738
37600820660,43,46
37600820670,170,177
37600820680,259,263
37600820690,771,786
37600820701,12,12
37600820750,524,
37600821000,16,
37600821600,1039,1048
37600821750,0,
37600821850,422,
37600821901,1131,1137
37600821910,927,943
37600821920,110,
37600821930,534,536
37600821940,505,
37600821950,1122,
37600821961,885,
37600821980,1726,1729
37600821990,0,
37600822001,1169,1169
37600822040,209,
37600822050,280,
37600822100,592,
37600822110,2367,
37600822150,2197,2197
37600822200,437,438
37600822300,2777,2779
37600822400,244,251
