ACCOUNT NUMBER,PR JUNE 22,CR JULY 22
37600900011,80,80
37600900050,1001,1020
37600900200,484,491
37600900300,612,612
37600900320,155,155
37600900350,0,1
37600900360,499,542
37600900380,339,339
37600900390,92,94
37600900400,1419,1440
37600900600,1481,1485
37600900810,682,692
37600901000,51,68
37600901200,234,234
37600901401,645,657
37600901600,800,818
37600901800,166,181
37600902400,7,20
37600902600,962,986
37600902610,186,190
37600902800,359,376
37600902850,217,217
37600902860,353,358
37600902900,0,5
37600902910,172,176
37600902960,250,254
37600903100,2359,2359
37600903180,487,495
37600903201,64,64
37600903400,1672,1672
37600903601,4466,4474
37600904001,126,129
37600904100,106,110
37600904200,1250,1250
37600904400,297,312
37600904430,797,797
37600904500,465,472
37600904520,0,0
37600904540,228,228
37600904800,272,276
37600905000,786,796
37600905200,489,497
37600905650,614,614
37600905900,78,78
37600906151,1560,1564
37600906900,175,175
37600906950,129,129
37600907130,59,59
37600907140,872,876
37600907145,1618,1620
37600907150,3406,306
37600907400,281,291
37600907460,43,43
37600907500,306,311
37600908400,26,26
37600908410,221,228
37600908800,577,577
37600909150,3115,3115
37600909410,0,4
37600909500,425,426
37600910200,561,567
37600910600,269,271
37600910900,3848,3878
37600911100,910,912
37600911190,89,99
37600911200,1883,1896
37600911220,173,173
37600911230,1198,1209
37600911240,2202,2218
37600911260,333,361
37600911280,1930,1934
37600911285,499,501
37600911290,305,314
37600911295,178,178
37600911300,1056,
37600911310,2432,2441
37600911320,943,946
37600911330,2034,2045
37600911340,463,481
37600911350,141,141
37600911360,90,90
37600911370,13,15
37600911380,143,143
37600911400,92,97
37600911410,505,507
37600911420,202,206
37600911451,822,822
37600911460,655,655
37600911500,900,908
37600911700,1072,1078
37600911720,875,875
37600911730,1317,1324
37600911750,644,649
37600911760,81,85
37600911780,2163,2207
37600911790,1179,1179
37600911800,1186,1186
37600912201,616,619
37600912210,2378,2384
37600912220,9213,9213
37600912230,499,499
37600912240,66,66
37600912250,190,190
37600912460,1495,1499
37600912470,198,219
37600912510,3827,3845
37600912540,381,387
37600912550,731,731
37600912701,1863,1863
37600913200,855,860
37600913220,296,298
37600913300,65,65
37600913810,90,91
37600913840,665,665
37600913860,281,284
37600913940,811,822
37600913950,2604,2616
37600913960,558,567
37600913970,141,143
37600914000,184,186
37600914020,646,656
37600914030,451,458
37600914035,257,267
37600914040,1669,1680
37600914050,848,866
37600914055,620,624
37600914060,213,218
37600914070,2552,2556
37600914090,2204,2221
37600914100,0,63
37600914300,321,325
37600914400,395,406
37600914500,2005,2018
37600914600,1505,1526
37600914610,764,780
37600914650,119,121
37600914950,692,712
37600915200,593,596
37600915540,343,344
37600915550,472,472
37600915700,1413,1423
37600915710,167,167
37600915720,661,661
37600915730,287,292
37600915760,612,648
37600915765,112,113
37600915775,282,282
37600915900,897,922
37600915930,815,825
37600915940,2735,2759
37600915950,2086,2101
37600915960,33,42
37600916200,2130,2143
37600916210,1123,1123
37600916250,541,551
37600916301,557,564
37600916305,345,357
37600916450,85,85
37600916701,1387,1418
37600916950,182,197
37600917720,49,49
37600917730,431,431
37600918000,414,414
37600918010,174,189
37600918100,727,735
37600918110,1431,1437
37600918130,454,454
37600918140,44,50
37600918160,155,161
37600918220,1647,1647
37600918241,330,332
37600918250,2617,2620
37600918260,943,943
37600918700,176,176
37600918890,23,23
37600918900,796,796
37600918905,277,285
37600918920,145,155
37600918925,1559,1591
37600918930,1307,1315
37600918935,195,195
37600918960,2282,2282
37600918985,2761,2761
37600919000,39,39
37600919020,337,347
37600919050,869,867
37600919060,287,289
37600919070,484,489
37600919080,411,420
37600919090,402,410
37600919150,343,343
37600919160,686,686
37600919200,98,98
37600919210,821,835
37600919240,155,155
37600919250,1798,1807
37600919260,497,498
37600919270,163,167
37600919280,436,437
37600919350,626,631
37600919450,1363,1363
37600919830,775,775
37600919940,717,725
37600919950,2620,2620
37600920440,17,17
37600920450,0,0
37600921160,180,180
37600922300,50,52
37600923010,2034,2052
37600923060,6,6
37600923140,870,888
37600923340,171,173
37600923350,95,97
37600923400,104,105
37600923410,267,268
37600923420,161,168
37600923430,217,221
37600923440,231,234
37600923450,102,102
37600923470,340,340
37600923500,645,665
37600923600,19,36
