ACCOUNT NUMBER,PR JUNE 22,CR JULY 22
37600200010,0,0
37600200502,0,0
37600200550,131,131
37600200751,401,401
37600201000,493,504
37600201250,4,4
37600201280,59,61
37600201300,972,986
37600201400,173,177
37600201500,173,174
37600201521,101,107
37600201530,0,0
37600201550,0,0
37600201560,0,0
37600201570,0,0
37600201580,0,316
37600202001,0,0
37600202100,0,0
37600202500,419,0
37600202510,70,72
37600202520,286,316
37600202590,45,48
37600203006,0,0
37600203502,0,0
37600204001,0,0
37600204500,0,0
37600205503,283,284
37600206003,0,0
37600206100,693,695
37600206150,2850,2851
37600206200,1835,1843
37600206401,0,0
37600206450,312,320
37600206460,91,91
37600207000,1443,1443
37600208003,0,0
37600208751,0,0
37600208800,0,0
37600209504,0,0
3760021001,607,607
37600210101,0,0
37600210300,0,0
37600210310,0,0
37600211000,602,612
37600211020,0,0
37600212001,342,342
37600212300,0,0
37600212400,0,0
37600212500,0,0
37600212753,0,0
37600214001,0,0
37600214500,0,0
37600215004,829,837
37600215310,0,0
37600215400,0,0
37600215503,0,0
37600215510,68,68
37600215540,98,112
37600215550,103,108
37600215561,0,0
37600216001,0,0
37600216300,0,0
37600216331,0,0
37600216400,1295,1295
37600216410,0,0
37600216420,365,389
37600216430,851,852
37600216502,614,638
37600216650,214,223
37600217000,163,170
37600217020,0,0
37600217050,98,98
37600217070,0,0
37600217080,0,0
37600217090,0,0
37600217100,0,0
37600217200,0,0
37600217250,218,223
37600217270,0,0
37600217260,22,24
37600217280,21,21
37600217290,298,310
37600217300,238,257
37600217340,880,894
37600217400,919,921
37600217411,89,89
37600217440,298,298
37600217445,107,107
37600217450,103,103
37600217460,0,0
37600217480,167,174
37600217490,102,102
37600217500,418,421
37600217530,192,194
37600217538,55,56
37600217541,63,64
37600217550,0,0
37600217561,514,519
37600217570,469,476
37600217580,1728,1745
37600217590,0,0
37600217600,287,289
37600217612,0,0
37600217620,552,553
37600217631,0,0
37600217640,856,856
37600217645,0,0
37600217650,2251,2280
37600217655,0,0
37600217660,0,0
37600217680,71,71
37600217670,0,0
37600217700,344,382
37600217710,0,0
37600217722,56,56
37600217730,229,229
37600217740,195,198
37600217760,0,0
37600217770,98,108
37600217790,516,526
37600217803,0,0
37600217810,168,168
37600217820,0,0
37600217830,0,0
37600217851,0,0
37600217850,103,103
37600217860,8073,8073
37600217881,232,232
37600217905,0,0
37600217910,0,0
37600217930,43,43
37600217941,0,0
37600217973,0,0
37600217980,0,0
37600217991,205,205
37600217995,0,0
37600218000,250,261
37600218021,399,399
37600218035,119,119
37600218040,662,662
37600218030,0,0
37600218045,0,0
37600218051,0,0
37600218060,0,0
37600218070,1248,1259
37600218080,0,0
37600218090,577,591
37600218100,134,135
37600218110,825,828
37600218120,484,487
37600218130,254,260
37600218140,0,0
37600218150,1315,1331
37600218201,0,0
37600218210,1193,1193
37600218220,171,174
37600218230,32,32
37600218240,0,0
37600218250,0,0
37600218260,316,322
37600218270,911,925
37600218280,440,445
37600218307,59,64
37600218310,0,0
37600218320,0,0
37600218325,0,0
37600218330,0,0
37600218350,179,180
37600218360,218,231
37600218370,384,384
37600218380,0,0
37600218390,386,390
37600218400,0,0
37600218410,1623,1634
37600218420,0,0
37600218501,41,42
37600218600,0,0
37600218610,0,0
37600218620,0,0
37600218641,0,0
37600218661,0,0
37600218700,242,242
37600218800,0,0
37600219120,0,0
37600219150,0,0
37600219160,313,313
37600219171,642,646
37600219180,0,0
37600219190,0,0
37600219200,0,0
37600219220,299,305
37600219230,470,485
37600219240,148,148
37600219250,299,312
37600219260,0,0
37600219270,268,268
37600219280,0,0
37600219290,173,173
37600219300,264,264
37600219310,130,132
37600219320,0,0
37600219330,1532,1545
37600219340,0,0
37600219360,0,0
37600219501,145,151
37600219750,0,0
37600219800,606,607
37600219860,413,413
37600221300,0,0
37600221500,46,46
37600221550,484,484
37600222500,0,0
37600222600,0,0
37600222700,812,812
37600223250,0,0
37600223260,512,512
37600224300,0,0
37600223350,0,0
37600223400,0,0
37600223450,222,227
37600223500,371,371
37600225002,181,181
37600225100,67,0
37600225200,801,801
37600225300,0,0
37600225352,514,514
37600225502,0,0
